runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,30,30,30,,,,,,,,,,,,,,,,,,,3111.3488347000093,3113.348895400006,3111.3488347000093,3113.348895400006,3113.3319569999876,3111.3488347000093,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,2,2,1,0,39,39,39,,,,,,,,,,,,,,,,,,,3228.33325299999,3230.333210699988,3228.33325299999,3230.333210699988,3230.3162882000033,3228.33325299999,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8641975308642031,3241.7452291899826,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013037210010224953,None,15.123456790123457,3244.5273396900157,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01422881000326015,None,50.0,3246.811252090003,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,3,3,3,0,2,2,2,,,,,,,3253.9498167999845,3253.9498167999845,None,space,157.48260210000444,3253.9498167999845,None,,,,,,3465.501593599998,3467.501603199984,3465.501593599998,3467.501603199984,3467.501603199984,3465.501593599998,,,,,,,,,,,0.013725310011068359,None,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,3478.5019467000093,3480.5019672999915,3478.5019467000093,3480.5019672999915,3480.4850409000064,3478.5019467000093,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,3,3,3,0,7,7,7,,,,,,,,,,,,,,,,,,,3530.4857396000007,3532.485729899985,3530.4857396000007,3532.485729899985,3532.4688052999845,3530.4857396000007,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,3,3,3,0,9,9,9,,,,,,,,,,,,,,,,,,,3556.4692685999908,3558.4692922999966,3556.4692685999908,3558.4692922999966,3558.4524376000045,3556.4692685999908,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,3,3,3,0,10,10,10,,,,,,,,,,,,,,,,,,,3569.4527094000077,3571.452731199999,3569.4527094000077,3571.452731199999,3571.43579399999,3569.4527094000077,,,,,,,,,,,,,,,,,,,5,m,2,19,r,CIB,2021_Dec_17_1210,2020.2.5,bodymapST2,59.98936988302612,"['Chest', 'Left Leg', 'Right Face', 'Left Face']",
