	onset	duration	rt	response	correct	bodySite	temperature	condition
93	936.6350252999982	1.9926080000004731			0.0	Abdomen	46.0	2back
94	938.6460310999828	1.9997898000001442			0.0	Abdomen	46.0	2back
95	intensity:	50.0						
96	963.7279710999865	1.956600499979686			1.0	Abdomen	46.0	1back
97	965.7100766999938	2.0028706999728456			0.0	Abdomen	46.0	1back
98	967.7126430000062	1.9938522000156809			0.0	Abdomen	46.0	1back
99	969.731171899999	2.0016419000166934			0.0	Abdomen	46.0	1back
100	971.7335751999926	2.006641000014497			0.0	Abdomen	46.0	1back
101	973.7337060999998	1.9887745000014547			0.0	Abdomen	46.0	1back
102	975.746939899982	2.0062262999999803			0.0	Abdomen	46.0	1back
103	intensity:	50.0						
104	1007.8707532999979	1.9277290999889374			1.0	Abdomen	46.0	1back
105	1009.81455369998	2.0032862999942154			0.0	Abdomen	46.0	1back
106	1011.8206606000022	1.9893065000069328			0.0	Abdomen	46.0	1back
107	1013.8346159000066	2.0103820999793243			0.0	Abdomen	46.0	1back
108	1015.8371079000062	2.004761799995322			0.0	Abdomen	46.0	1back
109	1017.838757599995	2.007082799973432			0.0	Abdomen	46.0	1back
110	1019.8481928999827	1.9903724000323564			0.0	Abdomen	46.0	1back
111	intensity:	50.0						
112	1063.3878829999885	1.500491099926876			1.0	Abdomen	46.0	1back
113	1064.914727700001	1.9933374000247568			0.0	Abdomen	46.0	1back
114	1066.9365561000013	1.9996924999868497			0.0	Abdomen	46.0	1back
115	1068.9502309999953	1.9953610000084154			0.0	Abdomen	46.0	1back
116	1070.9821370999853	1.9951830999634694			0.0	Abdomen	46.0	1back
117	1073.0009589999972	2.0048291999846697			0.0	Abdomen	46.0	1back
118	1075.0092932999833	1.9991341999848373			0.0	Abdomen	46.0	1back
119	intensity:	50.0						
120	1107.5710715999885	1.4819885999895632			1.0	Abdomen	46.0	1back
121	1109.0863097999827	1.988660599978175			0.0	Abdomen	46.0	1back
122	1111.1015797999862	1.9973439000023063			0.0	Abdomen	46.0	1back
123	1113.1302844999882	1.993159299978288			0.0	Abdomen	46.0	1back
124	1115.1384322000085	2.0103084000002127			0.0	Abdomen	46.0	1back
125	1117.1404377	2.000126900005853			0.0	Abdomen	46.0	1back
126	1119.1417915000056	2.0105130999872927			0.0	Abdomen	46.0	1back
127	intensity:	83.79629629629632						
